timestamp,user,fullname,text,hashtags,id,url,retweets,favorites,replies
2014-11-30 04:06:55,HarvardPolitics,Harvard Political Review,"Malala Yousafzai: A Truly ""Nobel"" Laureate?: http://youtu.be/aLuLnumNSKU?a  via @YouTube",,538906997886685184,/HarvardPolitics/status/538906997886685184,0,1,0
2016-07-23 19:25:45,HarvardPolitics,Harvard Political Review,Find the HPR's latest analysis of Turkey's coup and its aftermath here.  http://harvardpolitics.com/world/turkeycoup/ …pic.twitter.com/HBgFyPHDWk,,756933337940369412,/HarvardPolitics/status/756933337940369412,0,1,0
2015-01-20 02:36:48,HarvardPolitics,Harvard Political Review,"HPR Dispatch: Food safety, Tweeting in Thailand, Grendel's Den, Taylor Swift, and more. - http://eepurl.com/bbVYhn ",,557366101370503169,/HarvardPolitics/status/557366101370503169,0,0,0
2016-09-01 19:41:07,HarvardPolitics,Harvard Political Review,Lebanese voters made their frustrations heard at municipal elections this summer. http://harvardpolitics.com/world/beirut-whose-city/ …pic.twitter.com/a6AsDQu2mi,,771432719091916805,/HarvardPolitics/status/771432719091916805,1,2,0
2016-04-15 03:39:11,HarvardPolitics,Harvard Political Review,HPR 2016 Visitas Trailer: http://youtu.be/1hcw6K6ecE4?a  via @YouTube,,720818725713244160,/HarvardPolitics/status/720818725713244160,1,1,0
2016-03-23 18:08:49,HarvardPolitics,Harvard Political Review,"The trials of undocumented students at Harvard, and the university's efforts to support them
http://harvardpolitics.com/harvard/undocumented/ …pic.twitter.com/ZPBE3PExB2",,712702657866104832,/HarvardPolitics/status/712702657866104832,4,6,1
2016-05-19 23:16:36,HarvardPolitics,Harvard Political Review,There were bomb threats on campus yesterday. See how schools like Harvard deal with these types of crises. http://harvardpolitics.com/online/crisis/ ,,733436223033741313,/HarvardPolitics/status/733436223033741313,2,1,0
2016-05-05 00:28:21,HarvardPolitics,Harvard Political Review,Institute of Politics 50th Anniversary Commemoration http://harvardpolitics.com/online/institute-of-politics-50th/ … via @harvardpolitics,,728018461578899456,/HarvardPolitics/status/728018461578899456,1,1,0
2016-05-03 02:17:33,HarvardPolitics,Harvard Political Review,An Interview with Ambassador Gary Locke: http://youtu.be/ZzC2VisXqBg?a  via @YouTube,,727321164394147840,/HarvardPolitics/status/727321164394147840,4,4,0
2016-04-20 18:48:22,HarvardPolitics,Harvard Political Review,On the increasing divergence b/w Taiwanese and Chinese identities. http://harvardpolitics.com/world/taiwaneseidentity/ …pic.twitter.com/0ThOi8qUJb,,722859469005127680,/HarvardPolitics/status/722859469005127680,1,2,0
2016-02-28 20:27:06,HarvardPolitics,Harvard Political Review,"#Atlanta, formerly a poster child for urban sprawl, is slowly becoming a city where owning a car isn't necessary: http://harvardpolitics.com/united-states/urban-sprawls-poster-child-grows/ …",#Atlanta,704040147684298752,/HarvardPolitics/status/704040147684298752,7,8,0
2016-02-22 20:02:25,HarvardPolitics,Harvard Political Review,Netflix's Fuller House is arriving at just the right time. http://harvardpolitics.com/online/full-house/ …pic.twitter.com/zMF80jkQk9,,701859609565405185,/HarvardPolitics/status/701859609565405185,3,3,0
2016-02-22 01:26:41,HarvardPolitics,Harvard Political Review,Anne Hawley Interview: http://youtu.be/Zre2PNF3jYU?a  via @YouTube,,701578824610353152,/HarvardPolitics/status/701578824610353152,0,0,0
2016-01-15 15:28:20,HarvardPolitics,Harvard Political Review,The tech revolution of retail banking is going to services like @venmo and #p2p http://harvardpolitics.com/covers/money-messages/ …,#p2p,688019894437306369,/HarvardPolitics/status/688019894437306369,0,3,0
2016-01-10 00:24:52,HarvardPolitics,Harvard Political Review,"The parallels, parables, and prescriptions of Star Wars: The #ForceAwakens for international politics http://harvardpolitics.com/world/galactic-school-international-relations/ …",#ForceAwakens,685980593260216320,/HarvardPolitics/status/685980593260216320,5,3,0
2016-01-02 20:51:30,HarvardPolitics,Harvard Political Review,The tradeoffs b/w free speech and political correctness http://harvardpolitics.com/harvard/speech-safety-seinfeld-college-policies-free-speech/ …pic.twitter.com/OUgmmoJbk8,,683390179978178561,/HarvardPolitics/status/683390179978178561,3,1,0
2015-12-28 21:00:28,HarvardPolitics,Harvard Political Review,Reformed Rhetoric: @Pontifex Priming the #Catholic Church for Long-Term Change http://harvardpolitics.com/world/reformed-rhetoric-priming-catholic-church-long-term-change/ …,#Catholic,681580496162258944,/HarvardPolitics/status/681580496162258944,0,0,0
2015-12-23 17:04:03,HarvardPolitics,Harvard Political Review,Searching for strategy: US Foreign Policy in a Fragile World http://harvardpolitics.com/united-states/searching-for-strategy/ …,,679709063425429504,/HarvardPolitics/status/679709063425429504,4,1,0
2015-12-19 19:07:20,HarvardPolitics,Harvard Political Review,Fixing Democracy First: The Story of the @lessig Campaign http://harvardpolitics.com/special_features/lessig.html …,,678290536676139008,/HarvardPolitics/status/678290536676139008,1,2,0
